TRACT2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
48029181813,8770,3430,0.16223,0.01283,0.05599,248000,0.05379,0.09184,0.13294,0.11995,0.74242,0.03174,0.0,0.0,0.09307,0.79738,0.57351,0.09096,0.03902,0.09767,0.735,0.636,3,3,1.0
48029121905,5354,2167,0.06451,0.01015,0.0124,424700,0.02008,0.11814,0.03461,0.02279,0.53157,0.02236,0.0,0.0,0.10528,0.33284,0.18249,0.03415,0.00418,0.05768,0.118,0.265,1,1,1.0
48029172003,5084,1327,0.04549,0.0,0.04177,205800,0.07017,0.10173,0.14846,0.09186,0.65657,0.03639,0.02079,0.0,0.04875,0.26042,0.67384,0.01356,0.0,0.02411,0.207,0.331,1,1,1.0
48439111543,8097,2321,0.20872,0.00646,0.05647,172400,0.17563,0.06592,0.25463,0.0615,0.79326,0.07883,0.00685,0.00062,0.06411,0.41856,0.67903,0.02197,0.0,0.0991,0.516,0.503,3,3,1.0
48439111544,8298,2507,0.11218,0.01197,0.0371,167300,0.178,0.12126,0.18628,0.0323,0.60979,0.04209,0.0,0.01362,0.02792,0.29737,0.93525,0.02513,0.0,0.04547,0.286,0.378,2,2,1.0
48439111551,7618,2255,0.00236,0.0,0.02219,291800,0.02204,0.14678,0.05188,0.04686,0.4131,0.06349,0.0,0.0,0.06003,0.16317,0.19717,0.03858,0.0,0.0306,0.046,0.181,1,1,1.0
48439111311,7366,2336,0.04059,0.0,0.02715,283100,0.01959,0.19092,0.05394,0.05715,0.46117,0.01627,0.0,0.0,0.05996,0.07969,0.28089,0.03382,0.0,0.00385,0.041,0.174,1,1,1.0
48029191503,5297,2241,0.05135,0.08032,0.0,271600,0.00787,0.39804,0.0772,0.07665,0.46592,0.02413,0.00338,0.0,0.05443,0.15575,0.81392,0.0058,0.0,0.08478,0.281,0.374,2,2,1.0
48029191504,3037,1053,0.04182,0.04463,0.01999,676700,0.01178,0.40076,0.04179,0.02502,0.37109,0.0,0.0,0.0,0.08355,0.03293,0.59791,0.0057,0.00416,0.0,0.177,0.309,1,1,1.0
48029181820,8761,1732,0.43549,0.00693,0.13536,330900,0.09752,0.04042,0.03811,0.00867,0.73314,0.02602,0.0,0.33113,0.14806,0.82543,0.36891,0.02829,0.03502,0.01617,0.481,0.484,2,2,1.0
48121021722,4137,1557,0.02296,0.0045,0.05995,270200,0.02892,0.13231,0.12653,0.06526,0.29152,0.01733,0.0056,0.0,0.03172,0.32971,0.94838,0.00899,0.0,0.03211,0.159,0.297,1,1,1.0
48029181814,7180,3427,0.14513,0.00292,0.06075,240300,0.01361,0.09513,0.0499,0.04192,0.65292,0.00901,0.01393,0.0,0.06366,0.7649,0.2582,0.0213,0.01127,0.01371,0.286,0.378,2,2,1.0
48029181816,4491,1425,0.10688,0.05193,0.0464,222400,0.04548,0.24491,0.05684,0.06791,0.58985,0.03297,0.0,0.00178,0.0186,0.07562,0.90496,0.0,0.01062,0.05965,0.364,0.42,2,2,1.0
48029181819,7680,2694,0.26445,0.01188,0.06758,215200,0.08987,0.05308,0.09762,0.05768,0.73372,0.02584,0.0,0.0013,0.10558,0.56128,0.31541,0.0464,0.01258,0.02413,0.501,0.494,2,2,1.0
48339691601,4020,1869,0.08248,0.03585,0.12016,317300,0.02776,0.32156,0.01712,0.05945,0.25995,0.01931,0.01903,0.0,0.03858,0.3709,0.97479,0.09096,0.01779,0.06742,0.576,0.539,3,3,1.0
48121021749,3897,1166,0.02469,0.0,0.05115,571300,0.01746,0.15695,0.02744,0.03105,0.17655,0.0,0.0,0.0,0.0,0.00231,0.54545,0.0,0.0,0.0,0.009,0.056,1,1,1.0
48121021751,4724,1404,0.00826,0.0,0.0158,456200,0.0,0.05769,0.11823,0.03345,0.35267,0.0,0.0,0.0,0.02432,0.08023,0.246,0.0,0.0,0.0,0.011,0.074,1,1,1.0
48121021752,5143,1651,0.01289,0.01151,0.02749,384600,0.0213,0.0854,0.05088,0.03247,0.30721,0.01326,0.0,0.0,0.00602,0.03305,0.61951,0.0,0.0,0.00787,0.012,0.087,1,1,1.0
48121021520,4550,1403,0.09538,0.00784,0.03378,200400,0.16068,0.21953,0.18603,0.07275,0.50462,0.03863,0.01034,0.0,0.03241,0.28132,0.9869,0.01426,0.0,0.0784,0.406,0.444,2,2,1.0
48121021800,4455,1684,0.07879,0.00416,0.02676,609700,0.03383,0.19477,0.07126,0.06038,0.21122,0.00167,0.00622,0.0,0.04805,0.42828,0.58508,0.04335,0.01236,0.01603,0.244,0.353,1,1,1.0
48437950200,1925,493,0.09192,0.02434,0.02027,99000,0.1573,0.38134,0.07505,0.07221,0.37974,0.03247,0.16937,0.29922,0.27393,0.10526,0.87482,0.02434,0.01887,0.11765,0.68,0.599,3,3,1.0
48437950300,4182,1606,0.33374,0.0878,0.0987,73100,0.29956,0.37422,0.12391,0.05811,0.60856,0.09622,0.05525,0.01817,0.13001,0.37141,0.99621,0.11831,0.0,0.25031,0.905,0.764,4,4,1.0
48437950400,1296,500,0.16204,0.084,0.05556,75100,0.22442,0.33,0.166,0.04707,0.57716,0.03806,0.0747,0.0,0.2378,0.20216,0.9436,0.04,0.04425,0.234,0.842,0.711,4,4,1.0
48265960102,3282,1549,0.09246,0.03422,0.05063,249400,0.08988,0.4377,0.03228,0.04357,0.27087,0.05352,0.20329,0.03839,0.15123,0.2462,0.55836,0.0,0.00395,0.12976,0.492,0.49,2,2,1.0
48265960101,2046,935,0.02059,0.0,0.03595,257500,0.06863,0.50267,0.08342,0.0347,0.18719,0.01772,0.2448,0.00293,0.07334,0.2799,0.78989,0.0,0.0,0.10909,0.147,0.287,1,1,1.0
48265960304,3643,1570,0.06006,0.01338,0.08756,294300,0.07431,0.54713,0.06752,0.01125,0.17925,0.02748,0.2899,0.04117,0.31351,0.07959,0.70136,0.02548,0.0,0.10318,0.358,0.417,2,2,1.0
48265960403,3800,1589,0.12678,0.02769,0.0155,165400,0.17374,0.45249,0.14097,0.02289,0.27053,0.00431,0.23183,0.00658,0.08362,0.22517,0.69954,0.01322,0.0,0.11265,0.373,0.425,2,2,1.0
48265960404,3084,1205,0.07677,0.01826,0.01585,124400,0.09066,0.41992,0.18423,0.05869,0.31518,0.0,0.07559,0.01589,0.05118,0.70939,0.81575,0.0888,0.0,0.07967,0.653,0.585,3,3,1.0
48265960601,5246,1804,0.34827,0.06596,0.06524,103300,0.16063,0.39856,0.26552,0.04098,0.569,0.01332,0.14446,0.1769,0.03838,0.54933,0.66098,0.07262,0.0,0.21452,0.833,0.705,4,4,1.0
48265960602,2548,943,0.12446,0.02969,0.03874,180700,0.07888,0.386,0.3298,0.04631,0.38148,0.0358,0.0,0.00746,0.10531,0.40609,0.87476,0.0,0.0,0.08696,0.51,0.5,3,3,1.0
48265960303,4518,1783,0.14193,0.01346,0.02323,158500,0.16024,0.27987,0.0544,0.09495,0.33201,0.02984,0.28049,0.00753,0.094,0.38046,0.78201,0.00505,0.0,0.14133,0.475,0.481,2,2,1.0
