BG2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
482150241074,1416,492,0.06286,0.13211,0.24554,96400,0.58565,0.28455,0.18089,0.02895,0.97952,0.37091,0.07473,0.01766,0.12456,0.10496,0.61566,0.1626,0.0,0.34959,0.904,0.751,4,4,1.0
482150241081,1410,380,0.54468,0.07368,0.08943,148700,0.63589,0.08947,0.27895,0.11915,0.99362,0.36876,0.17105,0.0,0.0,0.22199,0.42105,0.05,0.0,0.68684,0.864,0.717,4,4,1.0
482150241093,1436,304,0.61072,0.02961,0.26695,579000,0.57439,0.0625,0.31579,0.11351,1.0,0.26237,0.01645,0.0,0.0,0.54039,0.30263,0.0,0.0,0.30921,0.743,0.628,3,3,1.0
482150241153,2582,406,0.05229,0.0,0.21314,-1,0.40657,0.15271,0.12562,0.15608,0.92022,0.1698,0.09457,0.0,0.1831,0.0,0.25553,0.0,0.0,0.0,0.42,0.444,2,2,1.0
482150241161,964,292,0.02386,0.0411,0.02649,108200,0.09011,0.25685,0.2089,0.04253,0.76556,0.02709,0.2949,0.0,0.35255,0.00415,0.80044,0.0,0.0,0.13356,0.445,0.458,2,2,1.0
482150241171,1092,314,0.11996,0.0,0.13067,232100,0.14478,0.3121,0.06051,0.02015,0.95879,0.06729,0.05919,0.0,0.02181,0.11081,0.5514,0.0,0.0,0.23567,0.28,0.368,2,2,1.0
482150241181,1258,412,0.14229,0.0,0.11321,122600,0.48609,0.20631,0.03398,0.03736,1.0,0.16598,0.16168,0.0,0.17764,0.06836,0.87425,0.11893,0.0,0.42718,0.63,0.558,3,3,1.0
482150241182,1715,395,0.39359,0.11139,0.1067,178400,0.38405,0.11139,0.27848,0.11895,0.93878,0.33223,0.10276,0.0,0.01003,0.62857,0.31078,0.11139,0.0,0.47848,0.962,0.815,4,4,1.0
482150241183,1598,358,0.33355,0.12011,0.10032,-1,0.39943,0.24302,0.10615,0.03254,1.0,0.27361,0.28771,0.0,0.0,0.27597,0.79609,0.0,0.0,0.37709,0.632,0.559,3,3,1.0
482150241191,2649,606,0.16648,0.0,0.0905,98900,0.31365,0.02145,0.08911,0.17101,0.99132,0.0847,0.0,0.0,0.04717,0.28086,0.08176,0.0,0.0,0.32673,0.384,0.426,2,2,1.0
482150241192,456,130,0.74561,0.13846,0.62903,387700,0.43939,0.13846,0.7,0.25439,1.0,0.28235,0.0,0.0,0.1875,0.94079,0.1875,0.44615,0.0,0.13846,0.991,0.883,4,4,1.0
482150241193,1955,381,0.46701,0.0,0.13876,220000,0.47741,0.0,0.31759,0.18824,1.0,0.28859,0.0,0.0,0.0,0.50179,0.12598,0.0,0.0,0.10499,0.505,0.489,3,3,1.0
