BG2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
482015112021,0.0,0.28614,0.0976,-138952,-0.441,-373900,1807,0.04355,0.79508,41.6,0.24823,0.01086,0.0,0.08255,0.07676,0.0,0.60681,0.0708,0.66034,0.0,0.1461,0.18732,2.04,0.0,0.05855,0.0,0.01518,0.04577
480850305441,0.0,0.03826,0.01079,-54983,-0.27652,-462800,1247,0.00709,0.63037,38.7,0.0,0.0,0.05295,0.13886,0.14685,0.00869,0.51199,0.0,0.49107,0.0,0.0,0.06783,3.48,0.04522,0.06389,0.03175,0.00794,0.04572
482015430112,0.37731,0.0,0.11081,-18382,-0.0,-136100,1755,0.03056,0.59866,14.2,0.45105,0.0,0.10117,0.0,0.73113,0.0,0.31526,0.30496,0.36787,0.0,0.1881,0.25532,4.23,0.0591,0.08562,0.27477,0.13063,0.04566
481130141261,0.0,0.1211,0.01112,-77085,-0.4432,-412200,1936,0.0,0.70837,45.3,0.04545,0.0,0.00372,0.27442,0.10791,0.00395,0.55953,0.0412,0.52024,0.0,0.0,0.03371,2.68,0.0,0.04642,0.02249,0.00525,0.04561
483970405081,0.06384,0.38119,0.03239,-93960,-0.45399,-566400,1152,0.02117,0.68678,42.6,0.07014,0.0,0.03472,0.01684,0.03543,0.0022,0.5107,0.03236,0.40502,0.03147,0.02753,0.00506,2.88,0.00506,0.05437,0.11381,0.01423,0.04555
480291918073,0.15275,0.38956,0.05687,-119116,-0.36345,-736900,1426,0.01013,0.8054,47.5,0.35,0.00284,0.01207,0.0973,0.46591,0.00229,0.5071,0.07028,0.51256,0.0299,0.17276,0.13454,2.77,0.0,0.03507,0.04188,0.0,0.0455
481130079102,0.03503,0.0303,0.235,-43315,-0.03232,-559658,1081,0.0,0.41879,35.8,0.24242,0.0,0.0,0.04459,0.27548,0.0,0.34076,0.0,0.35294,0.0,0.17224,1.0,1.27,0.0,0.06614,0.14379,0.0,0.04544
481210201322,0.0,0.05353,0.23065,-37901,-0.14193,-364300,2149,0.04893,0.54074,36.4,0.0,0.0,0.17764,0.29915,0.02511,0.01505,0.47703,0.0,0.28892,0.0,0.0,0.03731,3.42,0.0,0.1335,0.05846,0.0,0.04539
480850305424,0.06086,0.0,0.03501,-33028,-0.0,-410563,1413,0.0,0.43154,30.4,1.0,0.0,0.0,0.06086,0.15353,0.0,0.36238,0.0,0.29932,0.0,0.10698,1.0,1.88,0.0,0.05344,0.2449,0.0,0.04534
481210216463,0.0,0.01048,0.0529,-41022,-0.05539,-417400,1788,0.00505,0.47784,33.8,0.0,0.0,0.12568,0.15058,0.29508,0.00789,0.39405,0.0,0.34131,0.0637,0.01037,0.63623,2.47,0.0,0.1451,0.15248,0.05319,0.04528
482014516061,0.02339,0.17729,0.01214,-83612,-0.51524,-853300,1822,0.10094,0.67215,44.0,0.07435,0.0,0.0078,0.18276,0.39238,0.08099,0.54093,0.02909,0.45391,0.0,0.0599,0.10526,3.2,0.0,0.10618,0.03424,0.05619,0.04523
484530366002,0.14785,0.04974,0.0,-68403,-0.32908,-707700,1471,0.02293,0.64626,42.4,0.03989,0.0,0.0,0.01134,0.28844,0.01428,0.52517,0.0,0.33455,0.0,0.12108,0.22577,2.81,0.05357,0.05227,0.12,0.05212,0.04517
484910203263,0.04085,0.13361,0.2336,-39874,-0.35282,-320500,1546,0.0,0.6475,24.8,0.13065,0.0,0.06757,0.02017,0.04085,0.0,0.53152,0.12944,0.53767,0.0,0.0,0.09603,4.14,0.0,0.05875,0.03881,0.0,0.04512
484530371002,0.00527,0.27758,0.0,-68474,-0.40214,-431000,1956,0.00753,0.70943,41.7,0.0,0.0,0.0,0.03691,0.13181,0.0,0.48096,0.0,0.35764,0.0,0.0,0.03025,3.04,0.0,0.01376,0.02199,0.03125,0.04506
481130194001,0.10946,0.15495,0.06134,-87184,-0.33373,-862900,1888,0.00737,0.71147,45.4,0.22368,0.0,0.0,0.14978,0.06961,0.01835,0.60922,0.17163,0.50671,0.0,0.08406,0.37426,2.48,0.00954,0.01705,0.11459,0.00806,0.04501
481576739023,0.03727,0.07815,0.03849,-57260,-0.49532,-522100,1417,0.06466,0.64154,39.2,0.0,0.0,0.01158,0.84371,0.03628,0.11147,0.48722,0.0,0.45795,0.0,0.02312,0.14529,3.9,0.00991,0.10557,0.04695,0.01469,0.04496
